id,наименование,ссылка,"регулярная цена, руб.","промо цена, руб.",бренд
103394,"Сыр Hochland Грюнландер полутвердый 50%, 150г",https://online.metro-cc.ru/products/hochland-gryunlander-narezka-50-150-g,239,нет скидки,HOCHLAND
227592,"Сыр Laplandia Emmental 45%, 120г",https://online.metro-cc.ru/products/120g-syr-emmental-45-laplandia-narezka-bzmzh,219,159,LAPLANDIA
486389,"Сыр Bonfesto Рикотта мягкий 40%, 250г",https://online.metro-cc.ru/products/rikotta-myagkij-bonfesto-40-250-g-bzmzh,172,нет скидки,BONFESTO
120596,"Сыр Columbus Маасдамер полутвердый нарезка 45%, 125г",https://online.metro-cc.ru/products/125g-45-maasdamer-columbus-narez-bzmzh,172,нет скидки,COLUMBUS
404662,"Сыр Pirpacchi Пармезан твердый тертый 32%, 500г",https://online.metro-cc.ru/products/parmezan-pirpacchi-tertyj-38-500g-bzmzh,1 199,нет скидки,PIRPACCHI
203760,"Сыр Viola российский нарезка 50%, 120г",https://online.metro-cc.ru/products/120g-syr-50-viola-rossiyskiy-narezka-bzmzh,182,169,VIOLA
88248,"Сыр плавленый President Бри 45%, 200г",https://online.metro-cc.ru/products/art_88248,169,139,PRESIDENT
221864,"METRO Chef Сыр российский нарезка 50%, 150г",https://online.metro-cc.ru/products/150g-syr-rossiyskiy-50-metro-chef-narezka-bzmzh,179,нет скидки,METRO CHEF
329082,"Сыр плавленый President с ветчиной, 150г",https://online.metro-cc.ru/products/president-master-buterbrodov-s-vetchinoj-150-g-bzmzh,134,99,PRESIDENT
60921,"Сыр Schonfeld Швейцарский Маасдам полутвердый нарезка 48%, 125г",https://online.metro-cc.ru/products/fasovannyj-schonfeld-swiss-maasdam-narezka-48-125g-bzmzh,299,нет скидки,SCHONFELD
95340,"Сыр Киприно Алтайский нарезка 50%, 125г",https://online.metro-cc.ru/products/altajskij-kiprino-50-125-g-narezka-bzmzh,196,нет скидки,КИПРИНО
137419,"Продукт сырный Стародуб Тильзитер 45%, ~5.2кг",https://online.metro-cc.ru/products/produkt-syrnyy-starodub-tilziter-45-52kg,469,нет скидки,СТАРОДУБ
44241,"Сыр Cooking Рикотта, 2.25кг",https://online.metro-cc.ru/products/rikotta-cooking-225kg-bzmzh,1 079,нет скидки,COOKING
222931,"Сыр Ларец с грецкими орехами кусок 50%, 245г",https://online.metro-cc.ru/products/245g-syr-50-larets-s-gretskimi-orehami-kusok-bzmzh,319,нет скидки,ЛАРЕЦ
560040,"Сыр Unagrande Маскарпоне мягкий 80%, 250г",https://online.metro-cc.ru/products/myagkij-maskarpone-unagrande-80-250-g,319,нет скидки,UNAGRANDE
589173,"Сыр НТЦ-XXI Моцарелла ностра 40%, ~1.4кг",https://online.metro-cc.ru/products/syr-mocarella-nostra-1-4kg,749,нет скидки,НТЦ-XXI
134959,"Сыр плавленый Hochland Ассорти с грибами 50%, 140г",https://online.metro-cc.ru/products/plavlennyj-hochland-assorti-s-gribami-50-140g-bzmzh,125,94,HOCHLAND
599444,"Продукт рассольный Сиртаки Original комбинированный для греческого салата 55%, 500г",https://online.metro-cc.ru/products/sirtaki-original-dlya-grecheskogo-salata-500g-bzmzh,279,нет скидки,СИРТАКИ
87417,"Сыр Киприно Алтайский Premium, 230г",https://online.metro-cc.ru/products/altajskij-kiprino-premium-230g-bzmzh,369,нет скидки,КИПРИНО
136305,"Сыр Labas Rytas твердый выдержанный Brandus 45%, ~1.3кг",https://online.metro-cc.ru/products/syr-labas-rytas-tverdyy-vyderzhannyy-brandus-45-13kg,1 419,1 199,LABAS RYTAS
